평가 항목,배점,평가 기준,세부 평가 기준
문제 정의 및 기획,15점,"해결하려는 문제가 명확한지, 타깃 사용자가 구체적인지, 문제와 해결방안이 논리적으로 연결되는지 평가","15점 - 해결하려는 문제와 타깃 사용자가 매우 명확하며, 문제의 발생 배경과 필요성이 충분히 제시되어 있음. 문제와 서비스의 해결방안, 핵심 기능이 논리적이고 일관되게 연결됨.
12점 - 문제와 타깃 사용자가 명확하며 해결방안과의 연계성이 전반적으로 적절하나, 일부 구체성이 부족함.
9점 - 해결하려는 문제와 타깃 사용자는 제시되어 있으나 문제 분석 또는 해결방안과의 연결이 다소 부족함.
6점 - 문제 또는 타깃 사용자가 불명확하고 서비스의 해결방안과 문제 간 연결성이 낮음.
3점 - 해결하려는 문제와 타깃 사용자가 거의 정의되지 않았으며 기획의 논리성과 구체성이 부족함."
아이디어 및 차별성,10점,"기존 서비스와 비교했을 때 차별점이 명확한지, 독창적이거나 의미 있는 개선 요소가 있는지 평가","10점 - 기존 서비스 또는 해결 방식과 비교하여 차별점이 매우 명확하며, 독창적인 아이디어 또는 의미 있는 개선 요소가 구체적으로 구현되어 있음.
8점 - 기존 서비스와 비교한 차별점이 명확하고 의미 있는 개선 요소가 있으나 일부 독창성 또는 구체성이 부족함.
6점 - 일정 수준의 차별점은 있으나 기존 서비스와 유사한 부분이 많고 차별 요소가 제한적임.
4점 - 제시된 차별점이 명확하지 않거나 기존 서비스와의 차이가 매우 적음.
2점 - 기존 서비스 또는 해결 방식과 사실상 차이가 없으며 독창적 요소를 확인하기 어려움."
구현 완성도,20점,"MVP의 핵심 기능이 실제로 구현되었는지, 주요 기능이 정상 작동하는지, 배포는 했는지, 결과물이 사용 가능한 수준인지 평가","20점 - 계획한 MVP의 핵심 기능이 모두 구현되어 정상적으로 작동하며, 실제 사용 또는 배포가 가능한 수준의 높은 완성도를 갖춤.
16점 - 대부분의 핵심 기능이 구현되어 정상 작동하며 실제 사용 가능한 수준이나 일부 기능 또는 세부 완성도가 부족함.
12점 - 주요 기능은 구현되어 있으나 일부 핵심 기능이 미완성되었거나 오류가 존재하여 사용에 제한이 있음.
8점 - 기본적인 기능 일부만 구현되었으며 주요 기능에서 오류 또는 미완성 부분이 많음.
4점 - 구현된 기능이 매우 제한적이거나 정상적인 서비스 시연 및 사용이 어려운 수준임."
UX/UI 및 사용성,10점,"사용자 흐름이 자연스러운지, 주요 기능을 쉽게 이해하고 사용할 수 있는지 평가","10점 - 사용자 흐름과 화면 구성이 매우 직관적이며 주요 기능을 별도의 설명 없이 쉽게 이해하고 사용할 수 있음. UI의 일관성과 완성도도 높음.
8점 - 전반적인 사용자 흐름과 화면 구성이 자연스럽고 사용하기 편리하나 일부 사용성 또는 UI 개선이 필요함.
6점 - 기본적인 사용에는 문제가 없으나 일부 기능의 사용 방법이 직관적이지 않거나 사용자 흐름에 불편함이 있음.
4점 - 사용자 흐름이 불명확하거나 주요 기능을 사용하는 데 상당한 불편이 있음.
2점 - 사용자 흐름과 화면 구성이 제대로 구성되지 않아 서비스를 정상적으로 이용하기 어려움."
기술적 완성도,10점,"서비스 목적에 적합한 기술을 선택했는지, 기술적 문제 해결과 구현 수준이 적절한지 평가","10점 - 서비스 목적에 적합한 기술을 선정하였으며, 기술적 문제를 효과적으로 해결하고 전체 시스템을 안정적이고 적절한 구조로 구현함.
8점 - 기술 선택과 구현 방식이 전반적으로 적절하며 주요 기술적 문제를 해결하였으나 일부 개선할 부분이 있음.
6점 - 기본적인 기술 구현은 이루어졌으나 기술 선택 또는 시스템 구조에서 일부 비효율이나 부족한 부분이 있음.
4점 - 기술 선택이나 구현 방식의 적절성이 낮으며 주요 기술적 문제에 대한 해결이 부족함.
2점 - 서비스 구현에 필요한 기술적 구조가 제대로 구성되지 않았거나 기술적 완성도가 매우 낮음."
시장성 및 사업성,10점,"실제 수요가 존재하는지, 타깃 시장이 명확한지, 경쟁 서비스 대비 사업적 가능성이 있는지 평가","10점 - 명확한 타깃 고객과 실제 수요가 확인되며 시장의 필요성이 높음. 경쟁 환경에 대한 이해가 충분하고 실제 시장 진입 및 사업화 가능성이 높음.
8점 - 타깃 고객과 시장 수요가 비교적 명확하고 사업화 가능성이 있으나 시장 분석 또는 경쟁력 측면에서 일부 보완이 필요함.
6점 - 예상 고객과 시장은 제시되어 있으나 실제 수요 또는 시장 진입 가능성에 대한 근거가 다소 부족함.
4점 - 타깃 시장이나 고객이 불명확하고 실제 수요 및 사업화 가능성에 대한 근거가 부족함.
2점 - 시장 및 고객에 대한 분석이 거의 없으며 실제 사업화 가능성을 확인하기 어려움."
비즈니스 모델 및 지속 가능성,10점,"수익 구조가 현실적인지, 누가 비용을 지불하는지 명확한지, 지속적으로 서비스를 운영할 수 있는 구조인지 평가","10점 - 비용을 지불할 고객과 수익 창출 방식이 매우 명확하며, 서비스 특성에 적합하고 현실적인 수익 구조와 지속적인 운영 방안을 제시함.
8점 - 고객과 수익 모델이 명확하고 전반적으로 현실성이 있으나 가격 정책이나 운영 구조 등 일부 구체화가 필요함.
6점 - 기본적인 수익 모델은 제시되어 있으나 지불 고객, 가격 또는 지속적인 운영 방법에 대한 구체성이 부족함.
4점 - 수익 모델이 불명확하거나 서비스와의 연관성 및 현실성이 낮음.
2점 - 구체적인 비즈니스 모델이나 지속적인 운영 방안을 제시하지 못함."
발전 가능성,5점,"향후 기능·사용자·시장 확장이 가능한지, 서비스 고도화 가능성이 있는지 평가","5점 - 현재 결과물을 기반으로 기능, 사용자 및 시장을 확장할 가능성이 높으며 향후 서비스 고도화 및 사업 확장 방향이 구체적임.
4점 - 향후 서비스 확장 및 고도화 가능성이 높으며 발전 방향도 비교적 명확함.
3점 - 일정 수준의 발전 가능성이 있으나 구체적인 확장 또는 고도화 방향이 부족함.
2점 - 발전 방향이 불명확하고 기능·사용자·시장 확장 가능성이 제한적임.
1점 - 현재 결과물 이후의 발전 방향이나 확장 가능성을 확인하기 어려움."
협업 및 역할 수행,5점,"팀원별 역할이 명확하게 분담되어 있는지, 각 팀원이 맡은 업무를 충실히 수행했는지, 특정 인원에게 업무가 과도하게 편중되지 않았는지, 프로젝트 진행 과정에서 원활한 의사소통과 협업이 이루어졌는지 평가","5점 - 팀원별 역할과 책임이 명확하고 업무가 적절하게 분담되어 있으며, 모든 팀원이 맡은 역할을 충실하게 수행함. 프로젝트 전 과정에서 의사소통과 협업이 매우 원활하게 이루어짐.
4점 - 역할 분담과 업무 수행이 전반적으로 적절하며 대부분의 팀원이 적극적으로 참여하고 원활하게 협업함.
3점 - 기본적인 역할 분담과 협업은 이루어졌으나 일부 업무 편중 또는 역할 수행상의 부족한 부분이 있음.
2점 - 역할 분담이 다소 불명확하거나 특정 인원에게 업무가 편중되어 있으며 협업 과정에서 일부 문제가 있음.
1점 - 역할 분담과 협업이 제대로 이루어지지 않았거나 특정 인원이 대부분의 프로젝트를 수행한 것으로 판단됨."
발표 및 데모,5점,"문제, 해결방안, 비즈니스 모델, 핵심 기능을 명확하게 전달하고 실제 시연이 원활한지 평가","5점 - 문제, 해결방안, 핵심 기능 및 비즈니스 모델을 매우 명확하고 논리적으로 전달하며 실제 결과물의 데모가 원활하게 진행됨. 질의응답에도 구체적으로 대응함.
4점 - 주요 내용을 명확하게 전달하고 데모도 정상적으로 진행되나 일부 설명 또는 시연에서 보완할 부분이 있음.
3점 - 서비스의 주요 내용은 전달되나 발표의 논리성 또는 데모 진행에서 일부 부족한 부분이 있음.
2점 - 주요 내용 전달이 불명확하거나 데모 진행에 상당한 문제가 있음.
1점 - 서비스의 핵심 내용을 제대로 전달하지 못하거나 정상적인 데모를 진행하지 못함."
